City,arab_voter_count
ACAMPO,16
ACTON,15
ADELANTO,58
AGOURA HILLS,191
AGUA DULCE,8
AGUANGA,2
ALAMEDA,827
ALAMO,213
ALBANY,195
ALBION,2
ALHAMBRA,216
ALISO VIEJO,873
ALPAUGH,3
ALPINE,36
ALPINE MEADOWS,2
ALTADENA,165
ALVISO,6
AMERICAN CANYON,155
ANAHEIM,4851
ANDERSON,7
ANGELS CAMP,5
ANGELUS OAKS,1
ANGWIN,3
ANNAPOLIS,1
ANTELOPE,602
ANTIOCH,1050
ANZA,5
APPLE VALLEY,222
APPLEGATE,2
APTOS,51
ARBUCKLE,5
ARCADIA,525
ARCATA,28
ARLETA,51
ARMONA,5
ARNOLD,3
AROMAS,4
ARROWBEAR LAKE,1
ARROYO GRANDE,56
ARTESIA,175
ARVIN,84
ATASCADERO,48
ATHERTON,84
ATWATER,44
AUBERRY,1
AUBURN,38
AVALON,1
AVENAL,43
AVILA BEACH,2
AZUSA,176
BAKERSFIELD,2336
BALBOA ISLAND,3
BALDWIN PARK,62
BANGOR,1
BANNING,57
BARSTOW,96
BAY POINT,131
BAYSIDE,5
BEALE AFB,2
BEAUMONT,259
BELL,640
BELL CANYON,42
BELL GARDENS,17
BELLFLOWER,373
BELMONT,260
BELVEDERE,10
BEN LOMOND,12
BENICIA,130
BENTON,1
BERKELEY,1409
BERMUDA DUNES,21
BERRY CREEK,4
BETHEL ISLAND,4
BEVERLY HILLS,594
BIG BEAR CITY,3
BIG BEAR LAKE,11
BIGGS,27
BIOLA,3
BISHOP,2
BLAIRSDEN,1
BLOOMINGTON,82
BLUE JAY,1
BLYTHE,9
BODEGA BAY,2
BOLINAS,1
BONITA,73
BONSALL,19
BOONVILLE,4
BORON,2
BOULDER CREEK,11
BOULEVARD,1
BRADBURY,34
BRAWLEY,28
BREA,390
BRENTWOOD,833
BRISBANE,53
BROOKDALE,1
BROWNS VALLEY,4
BRYN MAWR,1
BUELLTON,7
BUENA PARK,699
BURBANK,814
BURLINGAME,363
BURNT RANCH,1
BURSON,2
BUTTE CITY,1
BUTTONWILLOW,3
BYRON,1
CABAZON,1
CALABASAS,334
CALEXICO,37
CALIENTE,2
CALIFORNIA CITY,25
CALIMESA,19
CALIPATRIA,1
CALISTOGA,5
CAMARILLO,301
CAMBRIA,9
CAMERON PARK,23
CAMINO,4
CAMP PENDLETON,9
CAMPBELL,498
CAMPO,3
CANOGA PARK,1328
CANYON CNTRY,5
CANYON COUNTRY,744
CANYON LAKE,16
CAPISTRANO BEACH,16
CAPITOLA,17
CARDIFF BY THE SEA,37
CARLOTTA,1
CARLSBAD,618
CARMEL,64
CARMEL VALLEY,15
CARMEL-BY-THE-SEA,10
CARMICHAEL,641
CARNELIAN BAY,1
CARPINTERIA,25
CARSON,322
CARUTHERS,9
CASTAIC,125
CASTRO VALLEY,544
CASTROVILLE,19
CATHEDRAL CITY,95
